Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,on File,3/11/2022,Retail Crypto‐Backed Loan,,,,Y,"$65,029.25",103
Name on File,Address on File,on File,2/27/2021,Retail Crypto‐Backed Loan,,,,Y,"$46,314.70",103
Washington State Department of Financial Institutions,150 Israel Road SW Tumwater WA 98501,CO01,02/17/22,Regulatory settlement outstanding payments,,,,,"$566,037.74",103
Name on File,Address on File,on File,9/28/2020,Retail Crypto‐Backed Loan,,,,Y,"$254,666.92",103
Name on File,Address on File,on File,11/27/2021,Retail Crypto‐Backed Loan,,,,Y,"$24,779.45",103
Name on File,Address on File,on File,2/28/2021,Retail Crypto‐Backed Loan,,,,Y,"$13,790.93",103
Name on File,Address on File,on File,9/1/2019,BPC Open and/or Term Loan,,,,,"$9,158.25",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$27.79,103
Name on File,Address on File,on File,5/2/2021,Retail Crypto‐Backed Loan,,,,Y,"$9,031.05",103
Name on File,Address on File,on File,11/14/2019,BPC Open and/or Term Loan,,,,,$16.67,103
Name on File,Address on File,on File,11/14/2019,Retail Crypto‐Backed Loan,,,,Y,"$1,357,861.98",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.04,103
Name on File,Address on File,on File,3/24/2021,Retail Crypto‐Backed Loan,,,,Y,"$52,177.63",103
Name on File,Address on File,on File,10/20/2020,Retail Crypto‐Backed Loan,,,,Y,"$61,757.90",103
Name on File,Address on File,on File,4/26/2021,Retail Crypto‐Backed Loan,,,,Y,"$19,123.43",103
West Realm Shires Inc (FTX US),3500 South Dupont Highway Dover DE 19901,NA,7/31/2022,Line of Credit,Y,Y,Y,Y,Unknown,103
West Virginia Secretary of State's Office,"1800 Kanawha Blvd Bldg 1, Room W‐100 Charleston WV 20305",0009,05/10/22,Regulatory settlement outstanding payments,,,,,"$566,037.74",103
Name on File,Address on File,on File,1/25/2021,Retail Crypto‐Backed Loan,,,,Y,"$48,779.71",103
Name on File,Address on File,on File,5/22/2021,Retail Crypto‐Backed Loan,,,,Y,"$14,436.20",103
Name on File,Address on File,on File,10/18/2021,Retail Crypto‐Backed Loan,,,,Y,"$8,054.10",104
Name on File,Address on File,on File,8/19/2022,Retail Crypto‐Backed Loan,,,,Y,"$14,613.84",104
Name on File,Address on File,on File,8/6/2020,BPC Open and/or Term Loan,,,,,$0.14,104
Name on File,Address on File,on File,4/26/2021,Retail Crypto‐Backed Loan,,,,Y,"$90,687.02",104
Name on File,Address on File,on File,1/19/2020,BPC Open and/or Term Loan,,,,,$425.67,104
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$19.13,104
Name on File,Address on File,on File,2/10/2021,Retail Crypto‐Backed Loan,,,,Y,"$75,682.19",104
Name on File,Address on File,on File,7/7/2020,Retail Crypto‐Backed Loan,,,,Y,"$165,955.64",104
Name on File,Address on File,on File,1/18/2021,Retail Crypto‐Backed Loan,,,,Y,"$36,133.28",104
Name on File,Address on File,on File,1/8/2021,Retail Crypto‐Backed Loan,,,,Y,"$8,443.85",104
Name on File,Address on File,on File,8/11/2020,Retail Crypto‐Backed Loan,,,,Y,"$10,047.91",104
Name on File,Address on File,on File,7/2/2020,Retail Crypto‐Backed Loan,,,,Y,"$68,552.65",104
Name on File,Address on File,on File,1/7/2021,Retail Crypto‐Backed Loan,,,,Y,"$9,336.01",104
Name on File,Address on File,on File,12/20/2020,BPC Open and/or Term Loan,,,,,"$3,364.51",104
Name on File,Address on File,on File,12/20/2020,Retail Crypto‐Backed Loan,,,,Y,"$240,101.46",104
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$7.33,104
Name on File,Address on File,on File,3/19/2021,Retail Crypto‐Backed Loan,,,,Y,"$24,480.54",104
Name on File,Address on File,on File,11/19/2020,Retail Crypto‐Backed Loan,,,,Y,"$11,388.38",104
